station_id,stationCode,name,lat,lon,capacity,rental_methods,num_bikes_available,numBikesAvailable,mechanical_bikes,ebike,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported
39882420,18101,Championnet.,48.8953643,2.3498166,22,,6,6,2,4,15,15,1,1,1,1717769818
54000547,6028,Quatre Vents - Carrefour de l'Odéon,48.851751374458864,2.338161695134053,37,CREDITCARD,31,31,24,7,3,3,1,1,1,1717769820
27415360,20005,Reynaldo Hahn - Lagny,48.849266043601794,2.412330328844772,19,,2,2,1,1,17,17,1,1,1,1717769747
82588494,21207,Verdier - République,48.815403766277,2.31739372015,29,,1,1,1,0,28,28,1,1,1,1717769517
125542925,10031,Louis Blanc - Aqueduc,48.88203018259946,2.3635615780949593,37,CREDITCARD,3,3,1,2,34,34,1,1,1,1717769861
54000568,11016,Philippe-Auguste,48.851853488265,2.3932945355773,48,,4,4,2,2,44,44,1,1,1,1717769490
82425449,12122,Bois de Vincennes - Polygone,48.83544491617421,2.431421081436563,51,CREDITCARD,35,35,22,13,16,16,1,1,1,1717769721
7234,15120,Colonel Pierre Avia,48.8296843300915,2.275342586850291,29,,24,24,22,2,5,5,1,1,1,1717769716
82551956,16033,Marché d'Auteuil,48.84842761367387,2.265253821160005,32,CREDITCARD,22,22,19,3,10,10,1,1,1,1717769846
85160045,21205,Arthur Auger - Jean Jaurès,48.813736445585235,2.3069277405738835,26,,3,3,1,2,22,22,1,1,1,1717769341
35816213,16023,Passy - Place du Costa Rica,48.8584893,2.2839655,33,CREDITCARD,1,1,1,0,31,31,1,1,1,1717769777
653190279,24007,Jean-Baptiste Charcot - Sainte-Geneviève,48.90310883721567,2.278892956674099,21,CREDITCARD,8,8,8,0,12,12,1,1,1,1717769867
99840124,6004,Regard - Rennes,48.847385404956,2.3268555477262,46,,19,19,16,3,24,24,1,1,1,1717769857
39311270,15114,Pasteur - Cotentin,48.8389284,2.316356,33,,4,4,0,4,28,28,1,1,1,1717769548
82413301,11029,Ménilmontant - Oberkampf,48.866617658681,2.3830134404158,40,CREDITCARD,8,8,1,7,31,31,1,1,1,1717769869
80077998,19014,Lorraine - Jean Jaurès,48.8863865,2.3825772,19,CREDITCARD,4,4,3,1,13,13,1,1,1,1717769844
13248144,15014,Volontaires - Vaugirard,48.84132050184004,2.30808901725357,34,CREDITCARD,10,10,5,5,24,24,1,1,1,1717769752
82408364,11028,Guillaume Bertrand - République,48.863825174341,2.380906377155,38,,4,4,1,3,33,33,1,1,1,1717769835
66491372,13055,M.- A. Lagroua Weill-Hallé -  F. Dolto,48.828595283857425,2.380220606266108,60,CREDITCARD,44,44,37,7,14,14,1,1,1,1717769857
54000631,22014,Victor Hugo - Bineau,48.88758225888669,2.2783890366554265,25,CREDITCARD,0,0,0,0,24,24,1,1,1,1717769863
54000623,20106,Mairie du 20ème,48.865302324275,2.3990669846535,27,CREDITCARD,1,1,1,0,26,26,1,1,1,1717769660
653121023,21027,Fief - République,48.83170888166024,2.255771979689598,25,,18,18,18,0,7,7,1,1,1,1717769844
76507850,15044,Dantzig - Lefebvre,48.83013921586756,2.295934036374092,33,,3,3,1,2,28,28,1,1,1,1717769677
101010226,12040,Porte de Charenton,48.83124010585643,2.3989107459783554,67,CREDITCARD,6,6,3,3,60,60,1,1,1,1717769820
653194214,25002,Hôtel de Ville de Rueil-Malmaison,48.878194,2.181724,20,CREDITCARD,1,1,1,0,17,17,1,1,1,1717769846
11375742,15113,Arsonval - Falguière,48.84040040365445,2.313117867297474,25,,2,2,1,1,22,22,1,1,1,1717769776
42588096,13023,Bobillot - Moulin des Prés,48.828657346203,2.353020646317,28,CREDITCARD,3,3,1,2,25,25,1,1,1,1717769817
66491369,6005,Montparnasse -  Square Ozanam,48.843310567822,2.3265242949128,49,CREDITCARD,18,18,14,4,30,30,1,1,1,1717769839
27363397,16022,Jean Bologne - Passy,48.857566889784465,2.280027395306772,19,,1,1,0,1,18,18,1,1,1,1717769781
39878420,20011,Pyrénées - Dagorno,48.855425770695085,2.4051643162965775,20,,2,2,0,2,17,17,1,1,1,1717769727
27415333,19001,Crimée - Ourcq,48.894104140316,2.3729460884673,56,CREDITCARD,8,8,3,5,48,48,1,1,1,1717769613
99798962,6020,Place Saint-André des Arts,48.852886173881,2.3426544293761,37,CREDITCARD,29,29,22,7,8,8,1,1,1,1717769867
82588656,21007,Rond-Point Rhin et Danube,48.840452820991764,2.2280225157737736,53,CREDITCARD,32,32,30,2,19,19,1,1,1,1717769814
35471668,19007,Flandre - Ourcq,48.89260159189023,2.3790915682911873,30,CREDITCARD,12,12,2,10,18,18,1,1,1,1717769865
27415500,21016,Point du Jour - Jean Jaurès,48.828753141436465,2.245911467014621,40,CREDITCARD,18,18,12,6,22,22,1,1,1,1717769842
11580442,5105,Geoffroy-Saint-Hilaire - Saint-Marcel,48.83907826424974,2.356877340669728,17,,9,9,7,2,5,5,1,1,1,1717769810
27414932,11018,Saint-Maur - République,48.864185861455,2.3783174157143,38,CREDITCARD,3,3,2,1,34,34,1,1,1,1717769810
66507230,13013,Saint-Marcel - Hôpital,48.83950442458303,2.360989417022932,21,CREDITCARD,15,15,12,3,5,5,1,1,1,1717769552
125881065,19123,Metz - Marne,48.891163,2.3865705,33,CREDITCARD,6,6,3,3,25,25,1,1,1,1717769735
54000627,21107,Bertrand Sincholle - Henri Barbusse,48.89925982394349,2.3042294383049016,23,CREDITCARD,9,9,8,1,14,14,1,1,1,1717769786
54000629,22007,Commandant Charcot - Bretteville,48.87530570765423,2.2558460757136345,36,CREDITCARD,22,22,14,8,10,10,1,1,1,1717769801
27415004,12039,Général Michel Bizot - Claude Decaen,48.83481262982544,2.400927788127704,38,CREDITCARD,8,8,3,5,29,29,1,1,1,1717769725
27415128,13037,Ivry - Baudricourt,48.824695995415006,2.363106073577468,20,,1,1,0,1,19,19,1,1,1,1717769848
84961467,5031,Lacépède - Linné,48.8437035476636,2.354651279747486,54,CREDITCARD,5,5,1,4,46,46,1,1,1,1717769545
27414937,12017,Saint-Mandé - Docteur Arnold Netter,48.84462585769668,2.404946386814118,39,CREDITCARD,14,14,5,9,24,24,1,1,1,1717769865
14623073464,21511,Marcel Monge - Marcel Dassault,48.86096384533371,2.2246733296048142,46,CREDITCARD,18,18,14,4,27,27,1,1,1,1717769822
27363504,14025,Jacquier - Didot,48.82953336292279,2.318179272115231,30,CREDITCARD,7,7,2,5,22,22,1,1,1,1717769840
100227241,6009,Guynemer - Jardin du Luxembourg,48.8466127,2.3325478,36,CREDITCARD,16,16,16,0,20,20,1,1,1,1717769860
2254322638,42027,Verdun - Pierre et Marie Curie,48.812822398263286,2.3707106709480286,26,CREDITCARD,3,3,1,2,23,23,1,1,1,1717769462
15377776,16104,Paul Valery - Victor Hugo,48.87137406080164,2.2887128591537476,35,,7,7,4,3,28,28,1,1,1,1717769768
70736110,20033,Etienne Dolet - Place Maurice Chevalier,48.86798303359366,2.3851405311143026,33,CREDITCARD,2,2,0,2,30,30,1,1,1,1717769559
16210188070,30005,Convention - Campus de Bobigny,48.914920058264,2.4172238067445,32,CREDITCARD,28,28,21,7,2,2,1,1,1,1717769863
15298647,11040,Temple - Jean-Pierre Timbaud,48.86446597201,2.3660597205162,36,,30,30,30,0,5,5,1,1,1,1717769872
129095489,17050,Batignolles - Abel Truchet,48.883103904582,2.3238347490884,28,CREDITCARD,3,3,0,3,22,22,1,1,1,1717769871
16210512714,30007,Pablo Picasso - Maurice Thorez,48.906887812943,2.4489325365198,0,CREDITCARD,0,0,0,0,0,0,0,0,0,1717769410
66491388,8044,Alfred de Vigny - Place du Général Brocard,48.87836138361425,2.305254448220567,33,,9,9,5,4,23,23,1,1,1,1717769807
16043228469,1201,Perrault - Place du Louvre,48.860273568996,2.3412468419093,28,CREDITCARD,15,15,14,1,11,11,1,1,1,1717769865
15189890802,21510,Fontaine du Tertre - Calvaire,48.8702539,2.2187778,24,CREDITCARD,0,0,0,0,24,24,1,1,1,1717769519
16043316164,51007,Résistance - Romain Rolland,48.950873482371,2.2310190077797,28,CREDITCARD,3,3,1,2,25,25,1,1,1,1717769491
121160813,17036,Place Tristan Bernard,48.8794936,2.2915423,28,CREDITCARD,6,6,4,2,20,20,1,1,1,1717769828
311552027,11038,Temple - Charlot,48.865709343796,2.3652737250724,45,,31,31,30,1,12,12,1,1,1,1717769762
27415083,13008,Place d'Italie - Soeur Rosalie,48.831908520394,2.3546943448098,52,CREDITCARD,3,3,0,3,49,49,1,1,1,1717769801
11063317380,21033,Sèvres - Maréchal Juin,48.8324305,2.2292812,18,,3,3,2,1,13,13,1,1,1,1717769773
1057387136,44010,8 Mai 1945 - 10 Juillet 1940,48.784567029674,2.3979035764933,30,CREDITCARD,0,0,0,0,30,30,1,0,0,1699174602
54000628,21112,Claude Debussy - Marc Bloch,48.910388180512,2.3117771744728,56,,41,41,36,5,13,13,1,1,1,1717769735
15187848239,22703,Place Jean Mermoz,48.9220937,2.2718348,30,CREDITCARD,13,13,11,2,17,17,1,1,1,1717769716
16043242148,24010,Charles de Gaulle - Rue de l'Alma,48.896620592993,2.252313240191,28,,3,3,1,2,24,24,1,1,1,1717769763
13568870765,25009,Place des Arts - Jean Mermoz,48.880391139734,2.1832160452221,20,CREDITCARD,2,2,1,1,18,18,1,1,1,1717769792
37647,10028,Gare du Nord - Dunkerque,48.880423508429,2.3527636751533,29,CREDITCARD,2,2,0,2,25,25,1,1,1,1717769671
218903767,10001,René Boulanger - Lancry,48.8685433,2.3600032,62,CREDITCARD,12,12,8,4,50,50,1,1,1,1717769744
214097180,41101,Paul Doumer - Stalingrad,48.806518992199,2.3368880152702,24,,9,9,7,2,14,14,1,1,1,1717769649
54000551,8003,Galilée - Vernet,48.871715878697,2.2985444962978,17,,13,13,4,9,4,4,1,1,1,1717769780
54000621,20030,Ménilmontant - Père Lachaise,48.863287291502,2.3869940266013,41,CREDITCARD,12,12,1,11,25,25,1,1,1,1717769837
2515618216,16140,Hippodrome de Longchamp,48.86413226532,2.239905372262,30,,21,21,13,8,6,6,1,1,1,1717769794
100863462,7007,Musée d'Orsay,48.85972615790874,2.325860448181629,65,CREDITCARD,57,57,46,11,5,5,1,1,1,1717769816
