embassy_webpages,country,diplomatic_mission_type,phone
https://embassies.net/cuba-in-france/paris, Cuba,Embassy,33 1 456 75535  and  33 1 456 71262
https://embassies.net/dominican-republic-in-france/paris, Dominican Republic,Embassy,33 1 5353 9595
https://embassies.net/el-salvador-in-france/paris, El Salvador,Embassy,33 1 47 20 42 02
https://embassies.net/guatemala-in-france/paris, Guatemala,Embassy,33 1 4227 7863   and   33 55 55206680
https://embassies.net/haiti-in-france/paris, Haiti,Embassy,33 1 4763 4778
https://embassies.net/honduras-in-france/paris, Honduras,Embassy,33 1 4755 8648
https://embassies.net/jamaica-in-france/paris, Jamaica,Consulate,33  1 45 00 6225
https://embassies.net/nicaragua-in-france/paris, Nicaragua,Embassy,33 1 4405 9042  and  33 8 7177 7505
https://embassies.net/panama-in-france/paris, Panama,Embassy,33 1 45 66 42 44
https://embassies.net/saint-lucia-in-france/paris, Saint Lucia,Embassy,33144513100
https://embassies.net/albania-in-france/paris, Albania,Embassy,33 1 472 33 100
https://embassies.net/andorra-in-france/paris, Andorra,Embassy,33 1 40 06 03 30
https://embassies.net/austria-in-france/paris, Austria,Embassy,33  1  40 63 30 63
https://embassies.net/belarus-in-france/paris, Belarus,Permanent Mission, 33 1 44 14 69 75 33 144 14 69 79
https://embassies.net/belarus-in-france/paris, Belarus,Embassy,33 0 1 44 14 69 75 33 0 1 44 14 69 79
https://embassies.net/belgium-in-france/paris, Belgium,Embassy,33 1 440 939 39 and 33 6 845 319 44
https://embassies.net/bosnia-and-herzegovina-in-france/paris, Bosnia and Herzegovina,Embassy,  33 1  426 734 22
https://embassies.net/bulgaria-in-france/paris, Bulgaria,Permanent Mission,33 1 45 68 34 02
https://embassies.net/bulgaria-in-france/paris, Bulgaria,Embassy,33 1 45 51 85 90
https://embassies.net/croatia-in-france/paris, Croatia,Embassy,33 1 5370 0280
https://embassies.net/cyprus-in-france/paris, Cyprus,Embassy,33 1 4720 8628
https://embassies.net/czech-republic-in-france/paris, Czech Republic,Embassy,331 406 513 00  331 406 513 01
https://embassies.net/denmark-in-france/paris, Denmark,Embassy,33 1 4431 2121
https://embassies.net/estonia-in-france/paris, Estonia,Permanent Representation,33  1 56 62 21 95
https://embassies.net/estonia-in-france/paris, Estonia,Embassy, 33 1 56 62 22 00
https://embassies.net/finland-in-france/paris, Finland,Embassy,33 144 181 920
https://embassies.net/germany-in-france/paris, Germany,Embassy,33 1 44 17 31 31
https://embassies.net/greece-in-france/paris, Greece,Permanent Mission, 331 45000836 45022410
https://embassies.net/greece-in-france/paris, Greece,Embassy, 33 1 47237228
https://embassies.net/greece-in-france/paris, Greece,Commercial Section, 331 47202660
https://embassies.net/hungary-in-france/paris, Hungary,Embassy,33 1 45 00 94 97
https://embassies.net/iceland-in-france/paris, Iceland,Embassy,3301 44 17 32 85
https://embassies.net/ireland-in-france/paris, Ireland,Embassy,331 44 17 67 00
https://embassies.net/italy-in-france/paris, Italy,Consulate,0033144304700
https://embassies.net/italy-in-france/paris, Italy,Embassy,0033149540300
https://embassies.net/kosovo-in-france/paris, Kosovo,Embassy,33 1 4500 0206
https://embassies.net/latvia-in-france/paris, Latvia,Embassy,33 1 536 458 10
https://embassies.net/lithuania-in-france/paris, Lithuania,Embassy,33 1 40 54 50 50 and 33 1 40 54 50 51
https://embassies.net/lithuania-in-france/paris, Lithuania,Permanent Representation,33 1 40 54 50 65
https://embassies.net/luxembourg-in-france/paris, Luxembourg,Embassy,33 1 45 55 13 37
https://embassies.net/malta-in-france/paris, Malta,Embassy, 33 156 597 590
https://embassies.net/moldova-in-france/paris, Moldova,Embassy,33 1 71 49 69 10
https://embassies.net/monaco-in-france/paris, Monaco,Embassy,33 1 45 04 74 54
https://embassies.net/montenegro-in-france/paris, Montenegro,Embassy,33 1 53 63 80 30
https://embassies.net/netherlands-in-france/paris, Netherlands,Embassy,33 140 623 300
https://embassies.net/north-macedonia-in-france/paris, North Macedonia,Embassy, 331 45 77 10 50
https://embassies.net/poland-in-france/paris, Poland,Embassy,33 1 43 17 34 00
https://embassies.net/portugal-in-france/paris, Portugal,Embassy,33 1 47 27 35 29
https://embassies.net/romania-in-france/paris, Romania,Embassy,33 1 47 05 10 46   and   33 1 47 05 18 70
https://embassies.net/russia-in-france/paris, Russia,Embassy,33 1 45 04 05 50
